id_exercise,id_pattern,id_muscle,id_rol,english_name
Remo invertido,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Inverted Row
Remo con kettlebell,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Kettlebell Row
Remo en barra T,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,T-bar Row
Remo al mentón,Tirón Horizontal (Peso libre),Bíceps,Sinergista fuerte,Upright Row
Jalón al pecho,Tirón Vertical (Máquina),Bíceps,Sinergista fuerte,Lat Pulldown
Jalón al pecho en máquina,Tirón Vertical (Máquina),Bíceps,Sinergista fuerte,Machine Lat Pulldown
Jalón al pecho con agarre neutro,Tirón Vertical (Máquina),Bíceps,Sinergista fuerte,Neutral Grip Lat Pulldown
Jalón con agarre neutro,Tirón Vertical (Máquina),Bíceps,Sinergista fuerte,Neutral Grip Pulldown
Jalón al pecho en agarre invertido,Tirón Vertical (Máquina),Bíceps,Sinergista fuerte,Underhand Lat Pulldown
Muscle-ups,Tirón Vertical (Peso libre),Bíceps,Sinergista fuerte,Muscle-ups
Dominadas supinas,Tirón Vertical (Peso libre),Bíceps,Sinergista fuerte,Chin-ups
Dominadas con agarre neutro,Tirón Vertical (Peso libre),Bíceps,Sinergista fuerte,Neutral Grip Pull-ups
Dominadas,Tirón Vertical (Peso libre),Bíceps,Sinergista fuerte,Pull-ups
Dominadas supinas con anillos,Tirón Vertical (Peso libre),Bíceps,Sinergista fuerte,Ring Chin-ups
Peso muerto convencional,Bisagra de Cadera (Peso muerto convencional),Core,Estabilizador,Conventional Deadlift
Peso muerto con mancuernas,Bisagra de Cadera (Peso muerto convencional),Core,Estabilizador,Dumbbell Deadlift
Peso muerto con kettlebell,Bisagra de Cadera (Peso muerto convencional),Core,Estabilizador,Kettlebell Deadlift
Peso muerto unilateral,Bisagra de Cadera (Peso muerto convencional),Core,Estabilizador,Single-leg Deadlift
Peso muerto con mancuernas unilateral,Bisagra de Cadera (Peso muerto convencional),Core,Estabilizador,Single-leg Dumbbell Deadlift
Peso muerto sumo,Bisagra de Cadera (Peso muerto convencional),Core,Estabilizador,Sumo Deadlift
Peso muerto rumano,Bisagra de Cadera (Peso muerto rumano),Core,Estabilizador,Romanian Deadlift
Crunch abdominal,Ejercicios de Aislamiento,Core,Agonista,Ab Crunch
Crunch con rueda,Ejercicios de Aislamiento,Core,Agonista,Ab Wheel Crunch
Flexión con giro en banda elástica,Ejercicios de Aislamiento,Core,Agonista,Band Curl with Twist
Patada de tríceps en banco,Ejercicios de Aislamiento,Core,Agonista,Bench Triceps Kickback
Crunch en polea,Ejercicios de Aislamiento,Core,Agonista,Cable Crunch
Rotación de tronco en polea,Ejercicios de Aislamiento,Core,Agonista,Cable Trunk Rotation
Dragon flag,Ejercicios de Aislamiento,Core,Agonista,Dragon Flag
Flexión lateral con mancuerna,Ejercicios de Aislamiento,Core,Agonista,Dumbbell Side Bend
Crunch en fitball,Ejercicios de Aislamiento,Core,Agonista,Fitball Crunch
Elevación de piernas en suelo,Ejercicios de Aislamiento,Core,Agonista,Floor Leg Raise
Elevación de piernas colgado,Ejercicios de Aislamiento,Core,Agonista,Hanging Leg Raise
Crunch en polea alta,Ejercicios de Aislamiento,Core,Agonista,High Cable Crunch
Elevación de rodillas,Ejercicios de Aislamiento,Core,Agonista,Knee Raise
Crunch en máquina,Ejercicios de Aislamiento,Core,Agonista,Machine Crunch
Crunch oblicuo,Ejercicios de Aislamiento,Core,Agonista,Oblique Crunch
Press pallof,Ejercicios de Aislamiento,Core,Agonista,Pallof press
Plancha,Ejercicios de Aislamiento,Core,Agonista,Plank
Plancha con flexión de cadera,Ejercicios de Aislamiento,Core,Agonista,Plank with Hip Flexion
Russian twist,Ejercicios de Aislamiento,Core,Agonista,Russian Twist
Giro ruso con balón medicinal,Ejercicios de Aislamiento,Core,Agonista,Russian Twist with Medicine Ball
Rotación de hombros con banda,Ejercicios de Aislamiento,Core,Agonista,Shoulder Band Rotation
Plancha lateral,Ejercicios de Aislamiento,Core,Agonista,Side Plank
Zancadas con barra,Sentadilla con peso libre,Core,Estabilizador,Barbell Lunge
Sentadilla con barra,Sentadilla con peso libre,Core,Estabilizador,Barbell Squat
Sentadilla búlgara,Sentadilla con peso libre,Core,Estabilizador,Bulgarian Split Squat
Sentadilla profunda,Sentadilla con peso libre,Core,Estabilizador,Deep Squat
Zancadas con mancuernas,Sentadilla con peso libre,Core,Estabilizador,Dumbbell Lunge
Sentadilla goblet,Sentadilla con peso libre,Core,Estabilizador,Goblet Squat
Sentadilla Jefferson,Sentadilla con peso libre,Core,Estabilizador,Jefferson Squat
Zancadas laterales,Sentadilla con peso libre,Core,Estabilizador,Lateral Lunge
Sentadilla overhead,Sentadilla con peso libre,Core,Estabilizador,Overhead Squat
Sentadilla sissy,Sentadilla con peso libre,Core,Estabilizador,Sissy Squat
Sentadilla split,Sentadilla con peso libre,Core,Estabilizador,Split Squat
Zancadas en escalón,Sentadilla con peso libre,Core,Estabilizador,Step Lunge
Sentadilla sumo,Sentadilla con peso libre,Core,Estabilizador,Sumo Squat
Remo con barra,Tirón Horizontal (Peso libre),Core,Estabilizador,Barbell Row
Remo con agarre estrecho,Tirón Horizontal (Peso libre),Core,Estabilizador,Close Grip Row
Remo en banco con mancuernas,Tirón Horizontal (Peso libre),Core,Estabilizador,Dumbbell Bench Row
Remo con mancuerna,Tirón Horizontal (Peso libre),Core,Estabilizador,Dumbbell Row
Remo invertido,Tirón Horizontal (Peso libre),Core,Estabilizador,Inverted Row
Remo con kettlebell,Tirón Horizontal (Peso libre),Core,Estabilizador,Kettlebell Row
Remo en barra T,Tirón Horizontal (Peso libre),Core,Estabilizador,T-bar Row
Remo al mentón,Tirón Horizontal (Peso libre),Core,Estabilizador,Upright Row
Muscle-ups,Tirón Vertical (Peso libre),Core,Estabilizador,Muscle-ups
Dominadas supinas,Tirón Vertical (Peso libre),Core,Estabilizador,Chin-ups
Dominadas con agarre neutro,Tirón Vertical (Peso libre),Core,Estabilizador,Neutral Grip Pull-ups
Dominadas,Tirón Vertical (Peso libre),Core,Estabilizador,Pull-ups
Dominadas supinas con anillos,Tirón Vertical (Peso libre),Core,Estabilizador,Ring Chin-ups
Extensiones de cuádriceps en polea,Ejercicios de Aislamiento,Cuádriceps,Agonista,Cable Quad Extension
Extensión de pierna,Ejercicios de Aislamiento,Cuádriceps,Agonista,Leg Extension
Extensión de pierna unilateral,Ejercicios de Aislamiento,Cuádriceps,Agonista,Single-leg Leg Extension
Sentadilla sissy asistida,Sentadilla,Cuádriceps,Agonista,Assisted Sissy Squat
Sentadilla en cajón,Sentadilla,Cuádriceps,Agonista,Box Squat
Sentadilla frontal,Sentadilla,Cuádriceps,Agonista,Front Squat
Sentadilla hack,Sentadilla,Cuádriceps,Agonista,Hack Squat
Prensa horizontal,Sentadilla,Cuádriceps,Agonista,Horizontal Leg Press
Prensa inclinada,Sentadilla,Cuádriceps,Agonista,Incline Leg Press
Sentadilla con salto,Sentadilla,Cuádriceps,Agonista,Jump Squat
Prensa de pierna,Sentadilla,Cuádriceps,Agonista,Leg Press
Prensa de pierna unilateral,Sentadilla,Cuádriceps,Agonista,Single-leg Leg Press
Sentadilla en Smith,Sentadilla,Cuádriceps,Agonista,Smith Machine Squat
Prensa de pierna sumo,Sentadilla,Cuádriceps,Agonista,Sumo Leg Press
Sentadilla touchdown,Sentadilla,Cuádriceps,Agonista,Touchdown Squat
Zancadas con barra,Sentadilla con peso libre,Cuádriceps,Agonista,Barbell Lunge
Sentadilla con barra,Sentadilla con peso libre,Cuádriceps,Agonista,Barbell Squat
Sentadilla búlgara,Sentadilla con peso libre,Cuádriceps,Agonista,Bulgarian Split Squat
Sentadilla profunda,Sentadilla con peso libre,Cuádriceps,Agonista,Deep Squat
Zancadas con mancuernas,Sentadilla con peso libre,Cuádriceps,Agonista,Dumbbell Lunge
Sentadilla goblet,Sentadilla con peso libre,Cuádriceps,Agonista,Goblet Squat
Sentadilla Jefferson,Sentadilla con peso libre,Cuádriceps,Agonista,Jefferson Squat
Zancadas laterales,Sentadilla con peso libre,Cuádriceps,Agonista,Lateral Lunge
Sentadilla overhead,Sentadilla con peso libre,Cuádriceps,Agonista,Overhead Squat
Sentadilla sissy,Sentadilla con peso libre,Cuádriceps,Agonista,Sissy Squat
Sentadilla split,Sentadilla con peso libre,Cuádriceps,Agonista,Split Squat
Zancadas en escalón,Sentadilla con peso libre,Cuádriceps,Agonista,Step Lunge
Sentadilla sumo,Sentadilla con peso libre,Cuádriceps,Agonista,Sumo Squat
Aperturas con mancuernas,Aperturas,Deltoides anteriores,Sinergista leve,Dumbbell Flyes
Cruce de poleas baja,Aperturas,Deltoides anteriores,Sinergista leve,Low Cable Crossover
Elevaciones frontales,Ejercicios de Aislamiento,Deltoides anteriores,Agonista,Front Raise
Press de banca,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Bench Press
Press de pecho en polea,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Cable Chest Press
Press declinado con mancuernas,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Decline Dumbbell Press
Press declinado,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Decline Press
Flexión en fitball,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Fitball Push-up
Press plano con mancuernas,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Flat Dumbbell Press
Press de banca en máquina Hammer,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Hammer Strength Bench Press
Press de pecho en máquina,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Machine Chest Press
Flexiones,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Push-ups
Press de pecho con banda elástica,Empuje Horizontal,Deltoides anteriores,Sinergista fuerte,Resistance Band Chest Press
Fondos de tríceps en banco,Empuje Horizontal (agarre estrecho o fondo),Deltoides anteriores,Sinergista leve,Bench Triceps Dips
Press de banca con agarre cerrado,Empuje Horizontal (agarre estrecho o fondo),Deltoides anteriores,Sinergista leve,Close-grip Bench Press
Flexiones con elevación de pierna,Empuje Horizontal (agarre estrecho o fondo),Deltoides anteriores,Sinergista leve,Leg Raise Push-ups
Fondos en paralelas,Empuje Horizontal (agarre estrecho o fondo),Deltoides anteriores,Sinergista leve,Parallel Bar Dips
Press inclinado con barra,Empuje Horizontal (si es inclinado),Deltoides anteriores,Sinergista fuerte,Incline Barbell Press
Press inclinado en polea,Empuje Horizontal (si es inclinado),Deltoides anteriores,Sinergista fuerte,Incline Cable Press
Press inclinado con mancuernas,Empuje Horizontal (si es inclinado),Deltoides anteriores,Sinergista fuerte,Incline Dumbbell Press
Press inclinado en máquina,Empuje Horizontal (si es inclinado),Deltoides anteriores,Sinergista fuerte,Incline Machine Press
Press inclinado,Empuje Horizontal (si es inclinado),Deltoides anteriores,Sinergista fuerte,Incline Press
Press inclinado en Smith,Empuje Horizontal (si es inclinado),Deltoides anteriores,Sinergista fuerte,Incline Smith Press
Press Arnold,Empuje Vertical,Deltoides anteriores,Agonista,Arnold Press
Press militar con barra,Empuje Vertical,Deltoides anteriores,Agonista,Barbell Overhead Press
Press militar con mancuernas,Empuje Vertical,Deltoides anteriores,Agonista,Dumbbell Shoulder Press
Press militar en máquina,Empuje Vertical,Deltoides anteriores,Agonista,Machine Shoulder Press
Flexiones pike,Empuje Vertical,Deltoides anteriores,Agonista,Pike Push-ups
Press militar con banda elástica,Empuje Vertical,Deltoides anteriores,Agonista,Resistance Band Overhead Press
Elevación lateral en polea,Ejercicios de Aislamiento,Deltoides medio,Agonista,Cable Lateral Raise
Elevación lateral con mancuernas,Ejercicios de Aislamiento,Deltoides medio,Agonista,Dumbbell Lateral Raise
Elevaciones laterales en polea acostado,Ejercicios de Aislamiento,Deltoides medio,Agonista,Lying Cable Lateral Raise
Elevación lateral en máquina,Ejercicios de Aislamiento,Deltoides medio,Agonista,Machine Lateral Raise
Press inclinado con barra,Empuje Horizontal (si es inclinado),Deltoides medio,Sinergista leve,Incline Barbell Press
Press inclinado en polea,Empuje Horizontal (si es inclinado),Deltoides medio,Sinergista leve,Incline Cable Press
Press inclinado con mancuernas,Empuje Horizontal (si es inclinado),Deltoides medio,Sinergista leve,Incline Dumbbell Press
Press inclinado en máquina,Empuje Horizontal (si es inclinado),Deltoides medio,Sinergista leve,Incline Machine Press
Press inclinado,Empuje Horizontal (si es inclinado),Deltoides medio,Sinergista leve,Incline Press
Press inclinado en Smith,Empuje Horizontal (si es inclinado),Deltoides medio,Sinergista leve,Incline Smith Press
Press Arnold,Empuje Vertical,Deltoides medio,Sinergista leve,Arnold Press
Press militar con barra,Empuje Vertical,Deltoides medio,Sinergista leve,Barbell Overhead Press
Press militar con mancuernas,Empuje Vertical,Deltoides medio,Sinergista leve,Dumbbell Shoulder Press
Press militar en máquina,Empuje Vertical,Deltoides medio,Sinergista leve,Machine Shoulder Press
Flexiones pike,Empuje Vertical,Deltoides medio,Sinergista leve,Pike Push-ups
Press militar con banda elástica,Empuje Vertical,Deltoides medio,Sinergista leve,Resistance Band Overhead Press
Face pull en polea,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Cable Face Pull
Remo en máquina de cadena,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Chain Machine Row
Face pull,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Face Pull
Remo en máquina Hammer,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Hammer Strength Machine Row
Remo en máquina,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Machine Row
Remo en polea con cuerda,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Rope Cable Row
Remo en polea baja,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Seated Cable Row
Remo en Smith,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Smith Machine Row
Remo sentado con agarre ancho,Tirón Horizontal (Máquina),Deltoides medio,Sinergista leve,Wide Grip Seated Row
Vuelos posteriores en polea,Ejercicios de Aislamiento,Deltoides posteriores,Agonista,Cable Rear Delt Fly
Vuelos posteriores con mancuernas,Ejercicios de Aislamiento,Deltoides posteriores,Agonista,Dumbbell rear delt flye
Vuelos posteriores en polea unilateral,Ejercicios de Aislamiento,Deltoides posteriores,Agonista,Single-arm Cable Rear Delt Fly
Face pull en polea,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Cable Face Pull
Remo en máquina de cadena,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Chain Machine Row
Face pull,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Face Pull
Remo en máquina Hammer,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Hammer Strength Machine Row
Remo en máquina,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Machine Row
Remo en polea con cuerda,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Rope Cable Row
Remo en polea baja,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Seated Cable Row
Remo en Smith,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Smith Machine Row
Remo sentado con agarre ancho,Tirón Horizontal (Máquina),Deltoides posteriores,Sinergista fuerte,Wide Grip Seated Row
Remo con barra,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Barbell Row
Remo con agarre estrecho,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Close Grip Row
Remo en banco con mancuernas,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Dumbbell Bench Row
Remo con mancuerna,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Dumbbell Row
Remo invertido,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Inverted Row
Remo con kettlebell,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Kettlebell Row
Remo en barra T,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,T-bar Row
Remo al mentón,Tirón Horizontal (Peso libre),Deltoides posteriores,Sinergista fuerte,Upright Row
Jalón al pecho,Tirón Vertical (Máquina),Deltoides posteriores,Sinergista leve,Lat Pulldown
Jalón al pecho en máquina,Tirón Vertical (Máquina),Deltoides posteriores,Sinergista leve,Machine Lat Pulldown
Jalón al pecho con agarre neutro,Tirón Vertical (Máquina),Deltoides posteriores,Sinergista leve,Neutral Grip Lat Pulldown
Jalón con agarre neutro,Tirón Vertical (Máquina),Deltoides posteriores,Sinergista leve,Neutral Grip Pulldown
Jalón al pecho en agarre invertido,Tirón Vertical (Máquina),Deltoides posteriores,Sinergista leve,Underhand Lat Pulldown
Muscle-ups,Tirón Vertical (Peso libre),Deltoides posteriores,Sinergista leve,Muscle-ups
Dominadas supinas,Tirón Vertical (Peso libre),Deltoides posteriores,Sinergista leve,Chin-ups
Dominadas con agarre neutro,Tirón Vertical (Peso libre),Deltoides posteriores,Sinergista leve,Neutral Grip Pull-ups
Dominadas,Tirón Vertical (Peso libre),Deltoides posteriores,Sinergista leve,Pull-ups
Dominadas supinas con anillos,Tirón Vertical (Peso libre),Deltoides posteriores,Sinergista leve,Ring Chin-ups
Jalón cerrado,Ejercicios de Aislamiento,Dorsales,Agonista,Close Grip Pulldown
Pullover en polea,Pullover,Dorsales,Agonista,Cable Pull-over
Pull-over con mancuerna,Pullover,Dorsales,Agonista,Dumbbell Pull-over
Pull-over en máquina,Pullover,Dorsales,Agonista,Machine Pull-over
Face pull en polea,Tirón Horizontal (Máquina),Dorsales,Agonista,Cable Face Pull
Remo en máquina de cadena,Tirón Horizontal (Máquina),Dorsales,Agonista,Chain Machine Row
Face pull,Tirón Horizontal (Máquina),Dorsales,Agonista,Face Pull
Remo en máquina Hammer,Tirón Horizontal (Máquina),Dorsales,Agonista,Hammer Strength Machine Row
Remo en máquina,Tirón Horizontal (Máquina),Dorsales,Agonista,Machine Row
Remo en polea con cuerda,Tirón Horizontal (Máquina),Dorsales,Agonista,Rope Cable Row
Remo en polea baja,Tirón Horizontal (Máquina),Dorsales,Agonista,Seated Cable Row
Remo en Smith,Tirón Horizontal (Máquina),Dorsales,Agonista,Smith Machine Row
Remo sentado con agarre ancho,Tirón Horizontal (Máquina),Dorsales,Agonista,Wide Grip Seated Row
Remo con barra,Tirón Horizontal (Peso libre),Dorsales,Agonista,Barbell Row
Remo con agarre estrecho,Tirón Horizontal (Peso libre),Dorsales,Agonista,Close Grip Row
Remo en banco con mancuernas,Tirón Horizontal (Peso libre),Dorsales,Agonista,Dumbbell Bench Row
Remo con mancuerna,Tirón Horizontal (Peso libre),Dorsales,Agonista,Dumbbell Row
Remo invertido,Tirón Horizontal (Peso libre),Dorsales,Agonista,Inverted Row
Remo con kettlebell,Tirón Horizontal (Peso libre),Dorsales,Agonista,Kettlebell Row
Remo en barra T,Tirón Horizontal (Peso libre),Dorsales,Agonista,T-bar Row
Remo al mentón,Tirón Horizontal (Peso libre),Dorsales,Agonista,Upright Row
Jalón al pecho,Tirón Vertical (Máquina),Dorsales,Agonista,Lat Pulldown
Jalón al pecho en máquina,Tirón Vertical (Máquina),Dorsales,Agonista,Machine Lat Pulldown
Jalón al pecho con agarre neutro,Tirón Vertical (Máquina),Dorsales,Agonista,Neutral Grip Lat Pulldown
Jalón con agarre neutro,Tirón Vertical (Máquina),Dorsales,Agonista,Neutral Grip Pulldown
Jalón al pecho en agarre invertido,Tirón Vertical (Máquina),Dorsales,Agonista,Underhand Lat Pulldown
Muscle-ups,Tirón Vertical (Peso libre),Dorsales,Agonista,Muscle-ups
Dominadas supinas,Tirón Vertical (Peso libre),Dorsales,Agonista,Chin-ups
Dominadas con agarre neutro,Tirón Vertical (Peso libre),Dorsales,Agonista,Neutral Grip Pull-ups
Dominadas,Tirón Vertical (Peso libre),Dorsales,Agonista,Pull-ups
Dominadas supinas con anillos,Tirón Vertical (Peso libre),Dorsales,Agonista,Ring Chin-ups
Hiperextensiones,Bisagra de Cadera,Espalda alta,Sinergista leve,Hyperextensions
Peso muerto con trap bar,Bisagra de Cadera,Espalda alta,Sinergista leve,Trap Bar Deadlift
Encogimientos con barra,Ejercicios de Aislamiento,Espalda alta,Agonista,Barbell Shrugs
Encogimientos con mancuernas,Ejercicios de Aislamiento,Espalda alta,Agonista,Dumbbell Shrugs
Encogimientos en máquina,Ejercicios de Aislamiento,Espalda alta,Agonista,Machine Shrugs
Encogimientos de muñeca,Ejercicios de Aislamiento,Espalda alta,Agonista,Wrist Shrugs
Face pull en polea,Tirón Horizontal (Máquina),Espalda alta,Agonista,Cable Face Pull
Remo en máquina de cadena,Tirón Horizontal (Máquina),Espalda alta,Agonista,Chain Machine Row
Face pull,Tirón Horizontal (Máquina),Espalda alta,Agonista,Face Pull
Remo en máquina Hammer,Tirón Horizontal (Máquina),Espalda alta,Agonista,Hammer Strength Machine Row
Remo en máquina,Tirón Horizontal (Máquina),Espalda alta,Agonista,Machine Row
Remo en polea con cuerda,Tirón Horizontal (Máquina),Espalda alta,Agonista,Rope Cable Row
Remo en polea baja,Tirón Horizontal (Máquina),Espalda alta,Agonista,Seated Cable Row
Remo en Smith,Tirón Horizontal (Máquina),Espalda alta,Agonista,Smith Machine Row
Remo sentado con agarre ancho,Tirón Horizontal (Máquina),Espalda alta,Agonista,Wide Grip Seated Row
Remo con barra,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Barbell Row
Remo con agarre estrecho,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Close Grip Row
Remo en banco con mancuernas,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Dumbbell Bench Row
Remo con mancuerna,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Dumbbell Row
Remo invertido,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Inverted Row
Remo con kettlebell,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Kettlebell Row
Remo en barra T,Tirón Horizontal (Peso libre),Espalda alta,Agonista,T-bar Row
Remo al mentón,Tirón Horizontal (Peso libre),Espalda alta,Agonista,Upright Row
Hiperextensiones,Bisagra de Cadera,Espalda media-baja,Agonista,Hyperextensions
Peso muerto con trap bar,Bisagra de Cadera,Espalda media-baja,Agonista,Trap Bar Deadlift
Peso muerto convencional,Bisagra de Cadera (Peso muerto convencional),Espalda media-baja,Agonista,Conventional Deadlift
Peso muerto con mancuernas,Bisagra de Cadera (Peso muerto convencional),Espalda media-baja,Agonista,Dumbbell Deadlift
Peso muerto con kettlebell,Bisagra de Cadera (Peso muerto convencional),Espalda media-baja,Agonista,Kettlebell Deadlift
Peso muerto unilateral,Bisagra de Cadera (Peso muerto convencional),Espalda media-baja,Agonista,Single-leg Deadlift
Peso muerto con mancuernas unilateral,Bisagra de Cadera (Peso muerto convencional),Espalda media-baja,Agonista,Single-leg Dumbbell Deadlift
Peso muerto sumo,Bisagra de Cadera (Peso muerto convencional),Espalda media-baja,Agonista,Sumo Deadlift
Sentadilla sissy asistida,Sentadilla,Espalda media-baja,Estabilizador,Assisted Sissy Squat
Sentadilla en cajón,Sentadilla,Espalda media-baja,Estabilizador,Box Squat
Sentadilla frontal,Sentadilla,Espalda media-baja,Estabilizador,Front Squat
Sentadilla hack,Sentadilla,Espalda media-baja,Estabilizador,Hack Squat
